DESCRIPTION,household_key,CAMPAIGN,START_DAY,END_DAY
TypeA,17,26,10/11/2020,4/1/2021
TypeA,27,26,10/11/2020,4/1/2021
TypeA,212,26,10/11/2020,4/1/2021
TypeA,208,26,10/11/2020,4/1/2021
TypeA,192,26,10/11/2020,4/1/2021
TypeA,187,26,10/11/2020,4/1/2021
TypeA,183,26,10/11/2020,4/1/2021
TypeA,142,26,10/11/2020,4/1/2021
TypeA,140,26,10/11/2020,4/1/2021
TypeA,134,26,10/11/2020,4/1/2021
TypeA,131,26,10/11/2020,4/1/2021
TypeA,2492,26,10/11/2020,4/1/2021
TypeA,2482,26,10/11/2020,4/1/2021
TypeA,2478,26,10/11/2020,4/1/2021
TypeA,2459,26,10/11/2020,4/1/2021
TypeA,2452,26,10/11/2020,4/1/2021
TypeA,2451,26,10/11/2020,4/1/2021
TypeA,2448,26,10/11/2020,4/1/2021
TypeA,2445,26,10/11/2020,4/1/2021
TypeA,2443,26,10/11/2020,4/1/2021
TypeA,2427,26,10/11/2020,4/1/2021
TypeA,2420,26,10/11/2020,4/1/2021
TypeA,2410,26,10/11/2020,4/1/2021
TypeA,2407,26,10/11/2020,4/1/2021
TypeA,2391,26,10/11/2020,4/1/2021
TypeA,2384,26,10/11/2020,4/1/2021
TypeA,2371,26,10/11/2020,4/1/2021
TypeA,2334,26,10/11/2020,4/1/2021
TypeA,2331,26,10/11/2020,4/1/2021
TypeA,2328,26,10/11/2020,4/1/2021
TypeA,2324,26,10/11/2020,4/1/2021
TypeA,2319,26,10/11/2020,4/1/2021
TypeA,2318,26,10/11/2020,4/1/2021
TypeA,2317,26,10/11/2020,4/1/2021
TypeA,2307,26,10/11/2020,4/1/2021
TypeA,2305,26,10/11/2020,4/1/2021
TypeA,2295,26,10/11/2020,4/1/2021
TypeA,2280,26,10/11/2020,4/1/2021
TypeA,2274,26,10/11/2020,4/1/2021
TypeA,2263,26,10/11/2020,4/1/2021
TypeA,2262,26,10/11/2020,4/1/2021
TypeA,2258,26,10/11/2020,4/1/2021
TypeA,2251,26,10/11/2020,4/1/2021
TypeA,2244,26,10/11/2020,4/1/2021
TypeA,2240,26,10/11/2020,4/1/2021
TypeA,2228,26,10/11/2020,4/1/2021
TypeA,2224,26,10/11/2020,4/1/2021
TypeA,2223,26,10/11/2020,4/1/2021
TypeA,2215,26,10/11/2020,4/1/2021
TypeA,2213,26,10/11/2020,4/1/2021
TypeA,2208,26,10/11/2020,4/1/2021
TypeA,2203,26,10/11/2020,4/1/2021
TypeA,2200,26,10/11/2020,4/1/2021
TypeA,2194,26,10/11/2020,4/1/2021
TypeA,2193,26,10/11/2020,4/1/2021
TypeA,2185,26,10/11/2020,4/1/2021
TypeA,2182,26,10/11/2020,4/1/2021
TypeA,2069,26,10/11/2020,4/1/2021
TypeA,2063,26,10/11/2020,4/1/2021
TypeA,2062,26,10/11/2020,4/1/2021
TypeA,2058,26,10/11/2020,4/1/2021
TypeA,2051,26,10/11/2020,4/1/2021
TypeA,2050,26,10/11/2020,4/1/2021
TypeA,2044,26,10/11/2020,4/1/2021
TypeA,2039,26,10/11/2020,4/1/2021
TypeA,1634,26,10/11/2020,4/1/2021
TypeA,1633,26,10/11/2020,4/1/2021
TypeA,1622,26,10/11/2020,4/1/2021
TypeA,1613,26,10/11/2020,4/1/2021
TypeA,1607,26,10/11/2020,4/1/2021
TypeA,1590,26,10/11/2020,4/1/2021
TypeA,1584,26,10/11/2020,4/1/2021
TypeA,1579,26,10/11/2020,4/1/2021
TypeA,1569,26,10/11/2020,4/1/2021
TypeA,1558,26,10/11/2020,4/1/2021
TypeA,1551,26,10/11/2020,4/1/2021
TypeA,1549,26,10/11/2020,4/1/2021
TypeA,1544,26,10/11/2020,4/1/2021
TypeA,1542,26,10/11/2020,4/1/2021
TypeA,1536,26,10/11/2020,4/1/2021
TypeA,1528,26,10/11/2020,4/1/2021
TypeA,1527,26,10/11/2020,4/1/2021
TypeA,1512,26,10/11/2020,4/1/2021
TypeA,1502,26,10/11/2020,4/1/2021
TypeA,1490,26,10/11/2020,4/1/2021
TypeA,1485,26,10/11/2020,4/1/2021
TypeA,1476,26,10/11/2020,4/1/2021
TypeA,1463,26,10/11/2020,4/1/2021
TypeA,1460,26,10/11/2020,4/1/2021
